Title,Price,Product-SKU,Product-Barcode,Colors,Sizes,URL
,"Rs.2,190",0114492,MC24E003,"Beige,Black,Brown,Grey,Navy,Olive,Stone2","30,32,34,36,38,40",https://zellbury.com/products/essential-chino-mc24e003
,"Rs.2,990",0116147,MC25C001,"Black,Navy,Stone,Beige,Grey,Olive,Khaki,Camel,Brown,Chocolate","30,32,34,36,38,40",https://zellbury.com/collections/chinos/products/signature-chino-mc25c001?variant=43475093913647
,"Rs.2,990",0116147,MC25C001,"Black,Navy,Stone,Beige,Grey,Olive,Khaki,Camel,Brown,Chocolate","30,32,34,36,38,40",https://zellbury.com/products/signature-chino-mc25c001
,"Rs.2,490",0121724,MC25E004,"Black,Khaki,Cloud,Grey,Navy,Olive","30,32,34,36,38,40",https://zellbury.com/collections/chinos/products/essential-chino-mc25e004?variant=43615916589103
,"Rs.2,490",0121724,MC25E004,"Black,Khaki,Cloud,Grey,Navy,Olive","30,32,34,36,38,40",https://zellbury.com/products/essential-chino-mc25e004
,"Rs.2,990",0124979,MC25C002,"Stone,Hazelnut,Grey,Chocolate,Camel,Beige,Black,Brown,Khaki,Navy,Olive","30,32,34,36,38,40",https://zellbury.com/collections/chinos/products/signature-chino-mc25c002?variant=43678065295407
,"Rs.2,990",0124979,MC25C002,"Stone,Hazelnut,Grey,Chocolate,Camel,Beige,Black,Brown,Khaki,Navy,Olive","30,32,34,36,38,40",https://zellbury.com/products/signature-chino-mc25c002
,"Rs.2,190",0088717,MD221026,,"30,32,34,36,38",https://zellbury.com/products/signature-denim-msd1026
,"Rs.2,190",0088723,MD221027,,"30,32,34,36,38",https://zellbury.com/products/signature-denim-msd1027
,"Rs.2,190",0089650,MD221028,,"30,32,34,36,38",https://zellbury.com/products/signature-denim-msd1028
,"Rs.2,490",0088165,MD221030,,"30,32,34,36,38",https://zellbury.com/products/signature-denim-msd1030
,"Rs.2,490",0088171,MD221031,,"30,32,34,36,38",https://zellbury.com/products/signature-denim-msd1031
,"Rs.2,490",0088177,MD221032,,"30,32,34,36",https://zellbury.com/products/signature-denim-msd1032
,"Rs.2,490",0088201,MD221036,,"30,32,34,36,38",https://zellbury.com/products/signature-denim-msd1036
,"Rs.2,190",0088735,MD221037,,"30,32,34,36,38",https://zellbury.com/products/signature-denim-msd1037
,"Rs.1,890",0089632,MD221018,,"30,32,34,36,38",https://zellbury.com/products/essential-denim-018
,"Rs.1,890",0091979,MD221022,,"30,32,34,36,38",https://zellbury.com/products/signature-denim-1022
,"Rs.2,790",0123093,MD25SCF001,"Black,Blue Black,Indigo,Mid Blue,Dark Blue,Jet Black","30,32,34,36,38",https://zellbury.com/collections/denim/products/signature-denim-md25scf001?variant=43617095745583
,"Rs.2,790",0123093,MD25SCF001,"Black,Blue Black,Indigo,Mid Blue,Dark Blue,Jet Black","30,32,34,36,38",https://zellbury.com/products/signature-denim-md25scf001
,"Rs.2,790",0123076,MD25SLF001,"Black,Mid Blue,Dark Blue,Jet Black,Light Blue","30,32,34,36,38",https://zellbury.com/collections/denim/products/signature-denim-md25slf001?variant=43617096695855
,"Rs.2,790",0123076,MD25SLF001,"Black,Mid Blue,Dark Blue,Jet Black,Light Blue","30,32,34,36,38",https://zellbury.com/products/signature-denim-md25slf001
,"Rs.2,790",0123056,MD25STF001,"Black,Dark Blue,Jet Black,Light Blue,Mid Blue","30,32,34,36,38",https://zellbury.com/collections/denim/products/signature-denim-md25stf001?variant=43678062477359
,"Rs.2,790",0123056,MD25STF001,"Black,Dark Blue,Jet Black,Light Blue,Mid Blue","30,32,34,36,38",https://zellbury.com/products/signature-denim-md25stf001
,"Rs.2,790",0127708,MD25SKF001,"Blue,Dark Blue,Indigo,Jet Black,Light  Blue,Mid Blue","30,32,34,36,38",https://zellbury.com/collections/denim/products/essential-denim-md25skf001?variant=43822418329647
,"Rs.2,790",0127708,MD25SKF001,"Blue,Dark Blue,Indigo,Jet Black,Light  Blue,Mid Blue","30,32,34,36,38",https://zellbury.com/products/essential-denim-md25skf001
,"Rs.2,990",0123118,MD25STF002,"Black,Indigo","30,32,34,36,38",https://zellbury.com/products/essential-denim-md25stf002
,"Rs.1,890",0129470,MW25E007,,,https://zellbury.com/products/wallet-mw25e007
,"Rs.1,690",0128026,MW25E005,,,https://zellbury.com/products/wallet-mw25e005
,"Rs.1,690",0127054,MW25E003,"Black,Brown",,https://zellbury.com/products/wallet-mw25e003
,"Rs.1,290",0124782,MW25E002,"Black,Tan",,https://zellbury.com/products/wallet-mw25e002
,"Rs.1,290",0129473,MW25E008,,,https://zellbury.com/products/wallet-mw25e008
,"Rs.1,290",0124780,MW25E001,"Black,Tan",,https://zellbury.com/products/wallet-mw25e001
,"Rs.1,690",0129475,MW25E009,,,https://zellbury.com/products/wallet-mw25e009
,Rs.590,0119955,MCH25E001,"Black,Grey,Dark Brown,Camel,Blue",,https://zellbury.com/collections/card-holders/products/card-holder-mch25e001?variant=43777082163247
,Rs.590,0119955,MCH25E001,"Black,Grey,Dark Brown,Camel,Blue",,https://zellbury.com/products/card-holder-mch25e001
,"Rs.1,490",0135149,MB25023,"Black,Brown","34,36,38,40,42,44",https://zellbury.com/products/single-side-belt-mb25023
,"Rs.1,890",0135906,MB25028,"Black,Brown","34,36,38,40,42,44",https://zellbury.com/products/single-side-belt-mb25028
,"Rs.1,890",0135888,MB25025,Black/Brown,"34,36,38,40,42,44",https://zellbury.com/products/double-side-belt-mb25025
,"Rs.1,890",0134032,MB25018,Black/Brown,"34,36,38,40,42,44",https://zellbury.com/products/double-side-belt-mb25018
,"Rs.1,890",0134002,MB25015,"Black,Brown","34,36,38,40,42,44",https://zellbury.com/products/single-side-belt-mb25015
,"Rs.1,890",0134014,MB25016,"Black,Brown","34,36,38,40,42,44",https://zellbury.com/products/single-side-belt-mb25016
